date,base,quote,rate
2024-01-31,USD,LKR,316.62
2024-02-01,USD,LKR,315.37
2024-02-02,USD,LKR,313.36
2024-02-05,USD,LKR,311.56
2024-02-06,USD,LKR,312.02
2024-02-07,USD,LKR,312.02
2024-02-08,USD,LKR,311.85
2024-02-09,USD,LKR,313.45
2024-02-12,USD,LKR,311.62
2024-02-13,USD,LKR,314.22
2024-02-14,USD,LKR,314.11
2024-02-15,USD,LKR,313.73
2024-02-16,USD,LKR,313.23
2024-02-19,USD,LKR,313.24
2024-02-20,USD,LKR,310.95
2024-02-21,USD,LKR,310.68
2024-02-22,USD,LKR,310.3
2024-02-23,USD,LKR,310.48
2024-02-26,USD,LKR,309.83
2024-02-27,USD,LKR,309.61
2024-02-28,USD,LKR,309.48
2024-02-29,USD,LKR,310.92
2024-03-01,USD,LKR,310.07
2024-03-04,USD,LKR,307.34
2024-03-05,USD,LKR,306.95
2024-03-06,USD,LKR,307.21
2024-03-07,USD,LKR,306.6
2024-03-08,USD,LKR,306.42
2024-03-11,USD,LKR,306.4
2024-03-12,USD,LKR,305.88
2024-03-13,USD,LKR,305.67
2024-03-14,USD,LKR,305.19
2024-03-15,USD,LKR,305.36
2024-03-18,USD,LKR,304.84
2024-03-19,USD,LKR,303.87
2024-03-20,USD,LKR,304.07
2024-03-21,USD,LKR,303.28
2024-03-22,USD,LKR,303.84
2024-03-25,USD,LKR,303.0
2024-03-26,USD,LKR,302.28
2024-03-27,USD,LKR,301.21
2024-03-28,USD,LKR,301.14
2024-03-29,USD,LKR,300.96
2024-04-01,USD,LKR,300.57
2024-04-02,USD,LKR,300.76
2024-04-03,USD,LKR,300.66
2024-04-04,USD,LKR,299.98
2024-04-05,USD,LKR,299.94
2024-04-08,USD,LKR,299.67
2024-04-09,USD,LKR,299.57
2024-04-10,USD,LKR,299.07
2024-04-11,USD,LKR,299.51
2024-04-12,USD,LKR,300.05
2024-04-15,USD,LKR,300.06
2024-04-16,USD,LKR,300.35
2024-04-17,USD,LKR,301.07
2024-04-18,USD,LKR,301.18
2024-04-19,USD,LKR,301.6
2024-04-22,USD,LKR,301.76
2024-04-23,USD,LKR,301.39
2024-04-24,USD,LKR,299.91
2024-04-25,USD,LKR,298.25
2024-04-26,USD,LKR,295.86
2024-04-29,USD,LKR,295.78
2024-04-30,USD,LKR,296.52
2024-05-01,USD,LKR,296.51
2024-05-02,USD,LKR,296.69
2024-05-03,USD,LKR,296.47
2024-05-06,USD,LKR,296.15
2024-05-07,USD,LKR,297.44
2024-05-08,USD,LKR,299.28
2024-05-09,USD,LKR,299.44
2024-05-10,USD,LKR,298.81
2024-05-13,USD,LKR,298.01
2024-05-14,USD,LKR,298.66
2024-05-15,USD,LKR,300.02
2024-05-16,USD,LKR,301.72
2024-05-17,USD,LKR,300.8
2024-05-20,USD,LKR,300.65
2024-05-21,USD,LKR,300.64
2024-05-22,USD,LKR,300.49
2024-05-23,USD,LKR,300.71
2024-05-24,USD,LKR,300.9
2024-05-27,USD,LKR,301.02
2024-05-28,USD,LKR,301.9
2024-05-29,USD,LKR,301.61
2024-05-30,USD,LKR,302.02
2024-05-31,USD,LKR,302.08
2024-06-03,USD,LKR,302.41
2024-06-04,USD,LKR,301.95
2024-06-05,USD,LKR,302.53
2024-06-06,USD,LKR,302.73
2024-06-07,USD,LKR,302.66
2024-06-10,USD,LKR,303.08
2024-06-11,USD,LKR,303.68
2024-06-12,USD,LKR,303.64
2024-06-13,USD,LKR,303.32
2024-06-14,USD,LKR,304.44
2024-06-17,USD,LKR,304.18
2024-06-18,USD,LKR,304.0
2024-06-19,USD,LKR,304.39
2024-06-20,USD,LKR,304.71
2024-06-21,USD,LKR,305.46
2024-06-24,USD,LKR,305.49
2024-06-25,USD,LKR,305.1
2024-06-26,USD,LKR,305.27
2024-06-27,USD,LKR,305.45
2024-06-28,USD,LKR,305.71
2024-07-01,USD,LKR,305.28
2024-07-02,USD,LKR,304.16
2024-07-03,USD,LKR,303.96
2024-07-04,USD,LKR,304.39
2024-07-05,USD,LKR,304.22
2024-07-08,USD,LKR,304.09
2024-07-09,USD,LKR,304.45
2024-07-10,USD,LKR,304.07
2024-07-11,USD,LKR,303.88
2024-07-12,USD,LKR,302.8
2024-07-15,USD,LKR,302.6
2024-07-16,USD,LKR,302.99
2024-07-17,USD,LKR,303.93
2024-07-18,USD,LKR,304.2
2024-07-19,USD,LKR,304.58
2024-07-22,USD,LKR,304.49
2024-07-23,USD,LKR,304.43
2024-07-24,USD,LKR,304.16
2024-07-25,USD,LKR,304.15
2024-07-26,USD,LKR,303.99
2024-07-29,USD,LKR,301.98
2024-07-30,USD,LKR,303.38
2024-07-31,USD,LKR,301.55
2024-08-01,USD,LKR,303.06
2024-08-02,USD,LKR,302.97
2024-08-05,USD,LKR,302.78
2024-08-06,USD,LKR,302.75
2024-08-07,USD,LKR,302.52
2024-08-08,USD,LKR,300.47
2024-08-09,USD,LKR,299.93
2024-08-12,USD,LKR,300.69
2024-08-13,USD,LKR,298.86
2024-08-14,USD,LKR,298.72
2024-08-15,USD,LKR,298.63
2024-08-16,USD,LKR,298.14
2024-08-19,USD,LKR,298.13
2024-08-20,USD,LKR,298.34
2024-08-21,USD,LKR,299.48
2024-08-22,USD,LKR,299.7
2024-08-23,USD,LKR,299.54
2024-08-26,USD,LKR,299.84
2024-08-27,USD,LKR,299.63
2024-08-28,USD,LKR,299.95
2024-08-29,USD,LKR,300.04
2024-08-30,USD,LKR,299.52
2024-09-02,USD,LKR,300.03
2024-09-03,USD,LKR,298.92
2024-09-04,USD,LKR,298.71
2024-09-05,USD,LKR,298.17
2024-09-06,USD,LKR,298.28
2024-09-09,USD,LKR,299.4
2024-09-10,USD,LKR,300.04
2024-09-11,USD,LKR,300.25
2024-09-12,USD,LKR,300.65
2024-09-13,USD,LKR,300.13
2024-09-16,USD,LKR,300.35
2024-09-17,USD,LKR,300.41
2024-09-18,USD,LKR,303.4
2024-09-19,USD,LKR,302.86
2024-09-20,USD,LKR,305.33
2024-09-23,USD,LKR,305.36
2024-09-24,USD,LKR,304.54
2024-09-25,USD,LKR,301.16
2024-09-26,USD,LKR,300.18
2024-09-27,USD,LKR,299.55
2024-09-30,USD,LKR,297.59
2024-10-01,USD,LKR,296.7
2024-10-02,USD,LKR,295.55
2024-10-03,USD,LKR,295.8
2024-10-04,USD,LKR,295.28
2024-10-07,USD,LKR,294.19
2024-10-08,USD,LKR,294.31
2024-10-09,USD,LKR,293.5
2024-10-10,USD,LKR,293.59
2024-10-11,USD,LKR,293.47
2024-10-14,USD,LKR,291.93
2024-10-15,USD,LKR,293.57
2024-10-16,USD,LKR,293.52
2024-10-17,USD,LKR,294.06
2024-10-18,USD,LKR,293.64
2024-10-21,USD,LKR,292.08
2024-10-22,USD,LKR,292.21
2024-10-23,USD,LKR,293.71
2024-10-24,USD,LKR,294.14
2024-10-25,USD,LKR,294.35
2024-10-28,USD,LKR,292.81
2024-10-29,USD,LKR,294.41
2024-10-30,USD,LKR,292.57
2024-10-31,USD,LKR,293.41
2024-11-01,USD,LKR,293.28
2024-11-04,USD,LKR,292.11
2024-11-05,USD,LKR,291.96
2024-11-06,USD,LKR,292.35
2024-11-07,USD,LKR,291.83
2024-11-08,USD,LKR,292.85
2024-11-11,USD,LKR,291.58
2024-11-12,USD,LKR,293.52
2024-11-13,USD,LKR,293.17
2024-11-14,USD,LKR,291.7
2024-11-15,USD,LKR,291.4
2024-11-18,USD,LKR,291.16
2024-11-19,USD,LKR,290.57
2024-11-20,USD,LKR,290.5
2024-11-21,USD,LKR,290.75
2024-11-22,USD,LKR,291.16
2024-11-25,USD,LKR,290.76
2024-11-26,USD,LKR,291.14
2024-11-27,USD,LKR,290.97
2024-11-28,USD,LKR,290.79
2024-11-29,USD,LKR,290.1
