date,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,usd_lkr_rate,tourist_arrivals
2023-10-02,150.19,26.41714285714286,28.11285714285714,25.25142857142857,323.34000000000003,26649
2023-10-09,127.94,26.431428571428572,28.035714285714285,25.24285714285714,323.442,22515
2023-10-16,106.03,26.2,28.087142857142858,24.647142857142857,323.588,24751
2023-10-23,138.42000000000002,25.76571428571429,27.39428571428571,24.385714285714283,324.664,27076
2023-10-30,93.77,26.625714285714285,28.84,24.860000000000003,326.462,24080
2023-11-06,168.29,26.41142857142857,28.59857142857143,24.76142857142857,327.46,30071
2023-11-13,149.52,26.735714285714288,28.87,24.90857142857143,327.236,36513
2023-11-20,89.88,26.771428571428572,28.512857142857143,25.5,327.68600000000004,40379
2023-11-27,94.24000000000001,26.99857142857143,29.66857142857143,24.584285714285716,328.222,34309
2023-12-04,92.64,26.351428571428574,27.827142857142857,25.157142857142855,328.946,34569
2023-12-11,92.22,26.891428571428573,29.04,25.101428571428574,328.26599999999996,42112
2023-12-18,127.11,26.462857142857143,28.68,24.75857142857143,327.168,45065
2023-12-25,20.34,26.52857142857143,29.599999999999998,23.964285714285715,326.4,55959
2024-01-01,86.38,26.50857142857143,29.465714285714284,24.48857142857143,325.106,52352
2024-01-08,73.71000000000001,26.632857142857144,29.267142857142858,24.28857142857143,322.196,45912
2024-01-15,35.67,25.44142857142857,28.545714285714286,23.07428571428571,322.928,49538
2024-01-22,23.89,26.252857142857145,29.53857142857143,23.195714285714285,320.81800000000004,47809
2024-01-29,1.61,25.277142857142856,29.39428571428571,21.797142857142855,318.174,47218
2024-02-05,33.660000000000004,26.732857142857142,29.958571428571428,24.118571428571425,314.87800000000004,48639
2024-02-12,0.21,25.49285714285714,29.96142857142857,21.861428571428572,312.192,54834
2024-02-19,3.24,26.648571428571426,30.607142857142858,23.624285714285715,313.706,54713
2024-02-26,8.16,27.50857142857143,30.804285714285715,24.662857142857142,310.448,51949
2024-03-04,1.87,27.254285714285714,31.054285714285715,24.12,309.48400000000004,48870
2024-03-11,3.5300000000000002,27.49142857142857,31.169999999999998,24.051428571428573,306.716,44672
2024-03-18,2.33,27.695714285714285,31.18857142857143,24.458571428571428,305.38800000000003,45693
2024-03-25,37.31,28.34142857142857,31.96,25.3,303.61199999999997,50677
2024-04-01,20.62,28.478571428571428,31.681428571428572,25.63714285714286,301.23199999999997,44711
2024-04-08,30.3,28.86285714285714,31.942857142857143,26.601428571428574,300.202,39781
2024-04-15,49.03,28.915714285714284,32.62714285714286,25.904285714285713,299.652,37387
2024-04-22,27.5,28.812857142857144,31.505714285714284,26.860000000000003,301.192,29630
2024-04-29,37.21,28.885714285714283,31.554285714285715,26.834285714285716,298.238,32652
2024-05-06,27.990000000000002,29.012857142857143,31.22,27.264285714285712,296.46799999999996,29744
2024-05-13,73.2,28.34857142857143,30.555714285714288,26.767142857142858,298.596,23477
2024-05-20,127.48,27.81857142857143,29.368571428571432,26.66142857142857,300.37,27179
2024-05-27,81.77,27.954285714285714,29.349999999999998,27.037142857142857,300.752,23684
2024-06-03,85.71000000000001,27.344285714285714,28.804285714285715,26.307142857142857,302.004,21983
2024-06-10,28.49,27.3,28.944285714285716,26.204285714285714,302.59000000000003,22532
2024-06-17,9.69,27.465714285714284,29.10571428571429,26.244285714285716,303.852,30195
2024-06-24,40.74,27.204285714285714,28.768571428571427,26.085714285714285,304.81,25512
2024-07-01,22.59,26.995714285714286,28.669999999999998,25.59857142857143,305.36199999999997,30481
2024-07-08,36.68,26.888571428571428,28.737142857142857,25.455714285714286,304.164,45005
2024-07-15,26.4,27.082857142857144,28.835714285714285,25.641428571428573,303.56,41473
2024-07-22,12.15,26.948571428571427,28.84857142857143,25.55857142857143,304.038,42972
2024-07-29,20.83,27.087142857142858,28.98,25.704285714285714,303.742,42716
2024-08-05,28.54,26.73428571428571,28.577142857142857,25.25142857142857,302.748,43884
2024-08-12,24.48,26.75857142857143,28.66857142857143,25.34142857142857,301.27200000000005,45848
2024-08-19,80.16,26.81142857142857,28.291428571428572,25.729999999999997,298.496,38600
2024-08-26,32.65,26.56142857142857,28.617142857142856,25.015714285714285,299.38,29298
2024-09-02,34.21,26.888571428571428,28.59714285714286,25.527142857142856,299.834,25668
2024-09-09,25.19,27.018571428571427,28.564285714285713,25.935714285714287,298.696,29001
2024-09-16,17.7,27.064285714285713,28.885714285714283,25.627142857142854,300.284,29633
2024-09-23,5.88,27.2,29.18,25.885714285714283,303.47200000000004,25825
2024-09-30,36.47,27.38714285714286,29.80142857142857,25.535714285714285,300.604,29501
2024-10-07,50.45,26.815714285714286,28.787142857142857,25.292857142857144,295.504,29814
2024-10-14,99.31,26.014285714285712,27.545714285714286,24.915714285714284,293.36,30103
2024-10-21,22.97,26.852857142857143,28.71142857142857,25.367142857142856,293.37399999999997,30751
2024-10-28,43.74,26.88714285714286,28.481428571428573,25.701428571428572,293.444,31076
2024-11-04,80.62,26.844285714285714,28.864285714285717,25.31,293.156,39671
2024-11-11,54.13,26.695714285714285,29.035714285714285,24.648571428571426,292.114,43499
2024-11-18,73.83,27.287142857142857,29.86285714285714,25.138571428571428,292.19,40525
